trial,chemical,adults_emerge,tot_larvae,,trial,chemical,adults_emerge,tot_larvae,,trial,chemical,adults_emerge,tot_larvae
1,Agnique_0.1,23,100,,1,fungus,45,100,,1,meth_label_rate,17,100
1,Agnique_0.2,2,100,,1,pyri,10,100,,1,meth_1/10,20,100
1,meth2x,35,100,,1,meth,30,100,,1,meth_1/100,56,100
1,pyri2x,21,100,,1,aquatain,5,100,,1,meth_1/1000,18,100
1,diflubenzuron,0,100,,1,control,59,100,,1,meth_1/10000,20,100
1,novaluron,0,100,,2,fungus,52,100,,1,pyri_label_rate,56,100
1,temephos,0,100,,2,pyri,13,100,,1,pyri_1/10,20,100
1,bti,35,100,,2,meth,32,100,,1,pyri_1/100,29,100
1,control,39,100,,2,aquatain,9,100,,1,pyri_1/1000,24,100
2,Agnique_0.1,16,100,,2,control,67,100,,1,pyri_1/10000,20,100
2,Agnique_0.2,7,100,,3,fungus,60,100,,1,temephos,0,100
2,meth2x,34,100,,3,pyri,5,100,,1,bti,15,100
2,pyri2x,20,100,,3,meth,40,100,,1,control,21,100
2,diflubenzuron,2,100,,3,aquatain,2,100,,2,meth_label_rate,13,100
2,novaluron,0,100,,3,control,72,100,,2,meth_1/10,20,100
2,temephos,1,100,,4,fungus,51,100,,2,meth_1/100,21,100
2,bti,37,100,,4,pyri,9,100,,2,meth_1/1000,41,100
2,control,41,100,,4,meth,49,100,,2,meth_1/10000,25,100
3,Agnique_0.1,26,100,,4,aquatain,12,100,,2,pyri_label_rate,18,100
3,Agnique_0.2,15,100,,4,control,70,100,,2,pyri_1/10,26,100
3,meth2x,26,100,,5,fungus,46,100,,2,pyri_1/100,25,100
3,pyri2x,27,100,,5,pyri,2,100,,2,pyri_1/1000,26,100
3,diflubenzuron,0,100,,5,meth,36,100,,2,pyri_1/10000,30,100
3,novaluron,0,100,,5,aquatain,15,100,,2,temephos,0,100
3,temephos,0,100,,5,control,64,100,,2,bti,29,100
3,bti,30,100,,6,fungus,59,100,,2,control,27,100
3,control,33,100,,6,pyri,6,100,,3,meth_label_rate,31,100
4,Agnique_0.1,10,100,,6,meth,39,100,,3,meth_1/10,34,100
4,Agnique_0.2,2,100,,6,aquatain,6,100,,3,meth_1/100,31,100
4,meth2x,30,100,,6,control,60,100,,3,meth_1/1000,42,100
4,pyri2x,20,100,,7,fungus,52,100,,3,meth_1/10000,39,100
4,diflubenzuron,6,100,,7,pyri,0,100,,3,pyri_label_rate,33,100
4,novaluron,9,100,,7,meth,49,100,,3,pyri_1/10,36,100
4,temephos,0,100,,7,aquatain,13,100,,3,pyri_1/100,40,100
4,bti,45,100,,7,control,63,100,,3,pyri_1/1000,46,100
4,control,52,100,,8,fungus,60,100,,3,pyri_1/10000,48,100
5,Agnique_0.1,5,100,,8,pyri,2,100,,3,temephos,0,100
5,Agnique_0.2,2,100,,8,meth,51,100,,3,bti,35,100
5,meth2x,45,100,,8,aquatain,11,100,,3,control,39,100
5,pyri2x,24,100,,8,control,72,100,,,,,
5,diflubenzuron,4,100,,9,fungus,50,100,,,,,
5,novaluron,6,100,,9,pyri,0,100,,,,,
5,temephos,1,100,,9,meth,55,100,,,,,
5,bti,70,100,,9,aquatain,4,100,,,,,
5,control,77,100,,9,control,69,100,,,,,
6,Agnique_0.1,9,100,,10,fungus,66,100,,,,,
6,Agnique_0.2,6,100,,10,pyri,0,100,,,,,
6,meth2x,41,100,,10,meth,49,100,,,,,
6,pyri2x,28,100,,10,aquatain,7,100,,,,,
6,diflubenzuron,3,100,,10,control,75,100,,,,,
6,novaluron,2,100,,,,,,,,,,
6,temephos,0,100,,,,,,,,,,
6,bti,47,100,,,,,,,,,,
6,control,55,100,,,,,,,,,,
7,Agnique_0.1,7,100,,,,,,,,,,
7,Agnique_0.2,4,100,,,,,,,,,,
7,meth2x,50,100,,,,,,,,,,
7,pyri2x,41,100,,,,,,,,,,
7,diflubenzuron,3,100,,,,,,,,,,
7,novaluron,4,100,,,,,,,,,,
7,temephos,1,100,,,,,,,,,,
7,bti,55,100,,,,,,,,,,
7,control,61,100,,,,,,,,,,
8,Agnique_0.1,11,100,,,,,,,,,,
8,Agnique_0.2,5,100,,,,,,,,,,
8,meth2x,57,100,,,,,,,,,,
8,pyri2x,49,100,,,,,,,,,,
8,diflubenzuron,9,100,,,,,,,,,,
8,novaluron,7,100,,,,,,,,,,
8,temephos,0,100,,,,,,,,,,
8,bti,57,100,,,,,,,,,,
8,control,72,100,,,,,,,,,,
9,Agnique_0.1,15,100,,,,,,,,,,
9,Agnique_0.2,8,100,,,,,,,,,,
9,meth2x,49,100,,,,,,,,,,
9,pyri2x,36,100,,,,,,,,,,
9,diflubenzuron,6,100,,,,,,,,,,
9,novaluron,5,100,,,,,,,,,,
9,temephos,0,100,,,,,,,,,,
9,bti,56,100,,,,,,,,,,
9,control,59,100,,,,,,,,,,
10,Agnique_0.1,10,100,,,,,,,,,,
10,Agnique_0.2,12,100,,,,,,,,,,
10,meth2x,53,100,,,,,,,,,,
10,pyri2x,37,100,,,,,,,,,,
10,diflubenzuron,8,100,,,,,,,,,,
10,novaluron,8,100,,,,,,,,,,
10,temephos,0,100,,,,,,,,,,
10,bti,49,100,,,,,,,,,,
10,control,65,100,,,,,,,,,,
